date,open,high,low,close
2024-11-20 00:00:00,1.06087,1.06101,1.0599,1.05996
2024-11-20 01:00:00,1.05994,1.06042,1.05956,1.06002
2024-11-20 02:00:00,1.06007,1.06037,1.05954,1.0596
2024-11-20 03:00:00,1.05958,1.05991,1.05883,1.05898
2024-11-20 04:00:00,1.05899,1.05946,1.05876,1.05931
2024-11-20 05:00:00,1.0593,1.05941,1.05865,1.05871
2024-11-20 06:00:00,1.05869,1.05958,1.05828,1.05875
2024-11-20 07:00:00,1.05875,1.0595,1.05763,1.05785
2024-11-20 08:00:00,1.05783,1.05791,1.05601,1.05646
2024-11-20 09:00:00,1.05642,1.05692,1.0553,1.05555
2024-11-20 10:00:00,1.05556,1.05618,1.05453,1.05488
2024-11-20 11:00:00,1.05489,1.05565,1.05419,1.05545
2024-11-20 12:00:00,1.05545,1.0568,1.05516,1.05588
2024-11-20 13:00:00,1.05585,1.05636,1.05514,1.05567
2024-11-20 14:00:00,1.05564,1.05572,1.05223,1.05251
2024-11-20 15:00:00,1.05252,1.05382,1.05158,1.05216
2024-11-20 16:00:00,1.05215,1.05251,1.05069,1.05205
2024-11-20 17:00:00,1.052,1.05364,1.05159,1.0532
2024-11-20 18:00:00,1.0532,1.05365,1.05254,1.05363
2024-11-20 19:00:00,1.05361,1.05427,1.05358,1.05395
2024-11-20 20:00:00,1.05396,1.05402,1.05361,1.05391
2024-11-20 21:00:00,1.05394,1.05447,1.05378,1.05439
2024-11-20 22:00:00,1.05438,1.05439,1.05415,1.05424
2024-11-20 23:00:00,1.05424,1.05462,1.05424,1.05458
2024-11-21 00:00:00,1.05452,1.05477,1.05421,1.05456
2024-11-21 01:00:00,1.05455,1.05499,1.05448,1.05458
2024-11-21 02:00:00,1.05459,1.05504,1.05456,1.05495
2024-11-21 03:00:00,1.05494,1.05536,1.05474,1.05532
2024-11-21 04:00:00,1.05533,1.05552,1.05487,1.05514
2024-11-21 05:00:00,1.05516,1.05517,1.05462,1.05467
2024-11-21 06:00:00,1.05467,1.05546,1.05419,1.05454
2024-11-21 07:00:00,1.05455,1.05476,1.05296,1.05366
2024-11-21 08:00:00,1.05365,1.05435,1.0524,1.05407
2024-11-21 09:00:00,1.05406,1.05411,1.05138,1.05173
2024-11-21 10:00:00,1.05168,1.05287,1.05138,1.05213
2024-11-21 11:00:00,1.05211,1.05315,1.05158,1.05204
2024-11-21 12:00:00,1.052,1.05361,1.05174,1.05275
2024-11-21 13:00:00,1.05274,1.05394,1.05158,1.05331
2024-11-21 14:00:00,1.05329,1.0536,1.05208,1.05351
2024-11-21 15:00:00,1.05352,1.05448,1.05088,1.05105
2024-11-21 16:00:00,1.05103,1.05149,1.04713,1.04744
2024-11-21 17:00:00,1.04746,1.0488,1.04622,1.04875
2024-11-21 18:00:00,1.04873,1.04894,1.0478,1.04864
2024-11-21 19:00:00,1.04862,1.04875,1.04731,1.04845
2024-11-21 20:00:00,1.04843,1.04871,1.04777,1.04791
2024-11-21 21:00:00,1.0479,1.04809,1.04717,1.04742
2024-11-21 22:00:00,1.0474,1.0478,1.04729,1.04758
2024-11-21 23:00:00,1.04757,1.04774,1.04675,1.04686
2024-11-22 00:00:00,1.04702,1.0476,1.04663,1.04756
2024-11-22 01:00:00,1.04756,1.0478,1.04692,1.04717
2024-11-22 02:00:00,1.04717,1.04736,1.04669,1.04729
2024-11-22 03:00:00,1.04729,1.04785,1.04722,1.04752
2024-11-22 04:00:00,1.04751,1.04764,1.04695,1.04748
2024-11-22 05:00:00,1.04747,1.04748,1.04614,1.04649
2024-11-22 06:00:00,1.04646,1.04706,1.04636,1.04695
2024-11-22 07:00:00,1.04697,1.04895,1.04625,1.04861
2024-11-22 08:00:00,1.04864,1.04983,1.04411,1.04437
2024-11-22 09:00:00,1.04441,1.04444,1.03321,1.04019
2024-11-22 10:00:00,1.0402,1.04377,1.03849,1.04297
2024-11-22 11:00:00,1.04296,1.04301,1.04079,1.04168
2024-11-22 12:00:00,1.04167,1.04198,1.03979,1.04076
2024-11-22 13:00:00,1.04077,1.04346,1.04062,1.04297
2024-11-22 14:00:00,1.04298,1.04351,1.04021,1.04047
2024-11-22 15:00:00,1.04046,1.04203,1.03951,1.04108
2024-11-22 16:00:00,1.04108,1.04121,1.03918,1.03984
2024-11-22 17:00:00,1.03983,1.04208,1.0398,1.0419
